project,access,cc,is_constructor,method_fen,class_name_guess,method_name,params_types,file,line_number
math3.6.1,public,3,False,org.apache.commons.math3.analysis.function.StepFunction.value(double),StepFunction,value,double,org/apache/commons/math3/analysis/function/StepFunction.java,83
math3.6.1,protected,3,True,"org.apache.commons.math3.analysis.integration.BaseAbstractUnivariateIntegrator.BaseAbstractUnivariateIntegrator(double,double,int,int)",BaseAbstractUnivariateIntegrator,BaseAbstractUnivariateIntegrator,"double,double,int,int",org/apache/commons/math3/analysis/integration/BaseAbstractUnivariateIntegrator.java,114
math3.6.1,private,3,False,org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator.stage(int),LegendreGaussIntegrator,stage,int,org/apache/commons/math3/analysis/integration/LegendreGaussIntegrator.java,244
math3.6.1,package-private,3,False,"org.apache.commons.math3.analysis.integration.TrapezoidIntegrator.stage(BaseAbstractUnivariateIntegrator,int)",TrapezoidIntegrator,stage,"BaseAbstractUnivariateIntegrator,int",org/apache/commons/math3/analysis/integration/TrapezoidIntegrator.java,116
math3.6.1,public,3,False,org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory.getRule(int),BaseRuleFactory,getRule,int,org/apache/commons/math3/analysis/integration/gauss/BaseRuleFactory.java,54
math3.6.1,private,3,False,org.apache.commons.math3.analysis.interpolation.BicubicInterpolatingFunction.computeSplineCoefficients(double[]),BicubicInterpolatingFunction,computeSplineCoefficients,double[],org/apache/commons/math3/analysis/interpolation/BicubicInterpolatingFunction.java,246
math3.6.1,private,3,False,"org.apache.commons.math3.analysis.interpolation.BicubicSplineFunction.apply(double[],double[],double[][])",BicubicSplineFunction,apply,"double[],double[],double[][]",org/apache/commons/math3/analysis/interpolation/BicubicSplineInterpolatingFunction.java,600
math3.6.1,private,3,False,org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunction.computeSplineCoefficients(double[]),BicubicSplineInterpolatingFunction,computeSplineCoefficients,double[],org/apache/commons/math3/analysis/interpolation/BicubicSplineInterpolatingFunction.java,419
math3.6.1,protected,3,False,"org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolator.computeDividedDifference(double,double)",DividedDifferenceInterpolator,computeDividedDifference,"double,double",org/apache/commons/math3/analysis/interpolation/DividedDifferenceInterpolator.java,99
math3.6.1,public,3,False,org.apache.commons.math3.analysis.interpolation.HermiteInterpolator.value(DerivativeStructure),HermiteInterpolator,value,DerivativeStructure,org/apache/commons/math3/analysis/interpolation/HermiteInterpolator.java,199
math3.6.1,public,3,False,org.apache.commons.math3.analysis.interpolation.HermiteInterpolator.value(double),HermiteInterpolator,value,double,org/apache/commons/math3/analysis/interpolation/HermiteInterpolator.java,167
math3.6.1,private,3,False,"org.apache.commons.math3.analysis.interpolation.LoessInterpolator.nextNonzero(double[],int)",LoessInterpolator,nextNonzero,"double[],int",org/apache/commons/math3/analysis/interpolation/LoessInterpolator.java,436
math3.6.1,private,3,False,"org.apache.commons.math3.analysis.interpolation.LoessInterpolator.updateBandwidthInterval(double[],double[],int,int[])",LoessInterpolator,updateBandwidthInterval,"double[],double[],int,int[]",org/apache/commons/math3/analysis/interpolation/LoessInterpolator.java,412
math3.6.1,public,3,True,"org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolator.MicrosphereInterpolator(int,int)",MicrosphereInterpolator,MicrosphereInterpolator,"int,int",org/apache/commons/math3/analysis/interpolation/MicrosphereInterpolator.java,75
math3.6.1,public,3,True,"org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolator.SmoothingPolynomialBicubicSplineInterpolator(int,int)",SmoothingPolynomialBicubicSplineInterpolator,SmoothingPolynomialBicubicSplineInterpolator,"int,int",org/apache/commons/math3/analysis/interpolation/SmoothingPolynomialBicubicSplineInterpolator.java,74
math3.6.1,private,3,False,org.apache.commons.math3.analysis.interpolation.TricubicInterpolatingFunction.computeCoefficients(double[]),TricubicInterpolatingFunction,computeCoefficients,double[],org/apache/commons/math3/analysis/interpolation/TricubicInterpolatingFunction.java,424
math3.6.1,private,3,False,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction.computeSplineCoefficients(double[]),TricubicSplineInterpolatingFunction,computeSplineCoefficients,double[],org/apache/commons/math3/analysis/interpolation/TricubicSplineInterpolatingFunction.java,398
math3.6.1,public,3,False,org.apache.commons.math3.analysis.polynomials.PolynomialFunction.add(PolynomialFunction),PolynomialFunction,add,PolynomialFunction,org/apache/commons/math3/analysis/polynomials/PolynomialFunction.java,168
math3.6.1,protected,3,False,"org.apache.commons.math3.analysis.polynomials.PolynomialFunction.evaluate(double[],double)",PolynomialFunction,evaluate,"double[],double",org/apache/commons/math3/analysis/polynomials/PolynomialFunction.java,127
