project,access,cc,is_constructor,method_fen,class_name,method_name,params_types,file,line_number,coverage_status,full_coverage,not_full_reasons,line_cov_summary,instr_cov_summary,branch_cov_summary,tests,calls
lang3.20,private,11,False,"org.apache.commons.lang3.reflect.TypeUtils.getClosestParentType(Class<?>,Class<?>)",org.apache.commons.lang3.reflect.TypeUtils,getClosestParentType,"Class<?>,Class<?>",org/apache/commons/lang3/reflect/TypeUtils.java,611,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
lang3.20,private,11,False,"org.apache.commons.lang3.text.ExtendedMessageFormat.readArgumentIndex(String,ParsePosition)",org.apache.commons.lang3.text.ExtendedMessageFormat,readArgumentIndex,"String,ParsePosition",org/apache/commons/lang3/text/ExtendedMessageFormat.java,408,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),17,0
lang3.20,private,10,False,"org.apache.commons.lang3.AnnotationUtils.arrayMemberEquals(Class<?>,Object,Object)",org.apache.commons.lang3.AnnotationUtils,arrayMemberEquals,"Class<?>,Object,Object",org/apache/commons/lang3/AnnotationUtils.java,119,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,public,10,False,"org.apache.commons.lang3.ArrayUtils.shift(Object[],int,int,int)",org.apache.commons.lang3.ArrayUtils,shift,"Object[],int,int,int",org/apache/commons/lang3/ArrayUtils.java,7497,"coverage-error:unclosed token: line 1, column 655347",False,"status=coverage-error:unclosed token: line 1, column 655347",% (/),% (/),% (/),,
lang3.20,public,10,False,"org.apache.commons.lang3.ArrayUtils.shift(boolean[],int,int,int)",org.apache.commons.lang3.ArrayUtils,shift,"boolean[],int,int,int",org/apache/commons/lang3/ArrayUtils.java,7007,ok,False,branch_not_full,100.0% (243/243),100.0% (909/909),95.0% (171/180),0,0
lang3.20,public,10,False,"org.apache.commons.lang3.ArrayUtils.shift(byte[],int,int,int)",org.apache.commons.lang3.ArrayUtils,shift,"byte[],int,int,int",org/apache/commons/lang3/ArrayUtils.java,7077,ok,False,branch_not_full,100.0% (243/243),100.0% (909/909),95.0% (171/180),77,77
lang3.20,public,10,False,"org.apache.commons.lang3.ArrayUtils.shift(char[],int,int,int)",org.apache.commons.lang3.ArrayUtils,shift,"char[],int,int,int",org/apache/commons/lang3/ArrayUtils.java,7147,ok,False,branch_not_full,100.0% (243/243),100.0% (909/909),95.0% (171/180),81,81
lang3.20,public,10,False,"org.apache.commons.lang3.ArrayUtils.shift(double[],int,int,int)",org.apache.commons.lang3.ArrayUtils,shift,"double[],int,int,int",org/apache/commons/lang3/ArrayUtils.java,7217,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,public,10,False,"org.apache.commons.lang3.ArrayUtils.shift(float[],int,int,int)",org.apache.commons.lang3.ArrayUtils,shift,"float[],int,int,int",org/apache/commons/lang3/ArrayUtils.java,7287,"coverage-error:unclosed token: line 1, column 2342877",False,"status=coverage-error:unclosed token: line 1, column 2342877",% (/),% (/),% (/),,
lang3.20,public,10,False,"org.apache.commons.lang3.ArrayUtils.shift(int[],int,int,int)",org.apache.commons.lang3.ArrayUtils,shift,"int[],int,int,int",org/apache/commons/lang3/ArrayUtils.java,7357,ok,False,branch_not_full,100.0% (243/243),100.0% (909/909),95.0% (171/180),0,0
lang3.20,public,10,False,"org.apache.commons.lang3.ArrayUtils.shift(long[],int,int,int)",org.apache.commons.lang3.ArrayUtils,shift,"long[],int,int,int",org/apache/commons/lang3/ArrayUtils.java,7427,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,public,10,False,"org.apache.commons.lang3.ArrayUtils.shift(short[],int,int,int)",org.apache.commons.lang3.ArrayUtils,shift,"short[],int,int,int",org/apache/commons/lang3/ArrayUtils.java,7567,ok,False,branch_not_full,100.0% (243/243),100.0% (909/909),95.0% (171/180),260,7
lang3.20,package-private,10,False,"org.apache.commons.lang3.CharSequenceUtils.indexOf(CharSequence,int,int)",org.apache.commons.lang3.CharSequenceUtils,indexOf,"CharSequence,int,int",org/apache/commons/lang3/CharSequenceUtils.java,110,ok,False,line_not_full;instr_not_full;branch_not_full,92.6% (25/27),88.0% (103/117),85.7% (24/28),14,13
lang3.20,protected,10,False,org.apache.commons.lang3.CharSet.add(String),org.apache.commons.lang3.CharSet,add,String,org/apache/commons/lang3/CharSet.java,184,ok,False,line_not_full;instr_not_full;branch_not_full,89.5% (17/19),83.5% (86/103),94.4% (17/18),0,0
lang3.20,public,10,False,"org.apache.commons.lang3.ClassUtils.getAbbreviatedName(String,int)",org.apache.commons.lang3.ClassUtils,getAbbreviatedName,"String,int",org/apache/commons/lang3/ClassUtils.java,306,ok,False,branch_not_full,100.0% (23/23),100.0% (90/90),95.0% (19/20),0,0
lang3.20,public,10,False,"org.apache.commons.lang3.StringUtils.containsAny(CharSequence,char[])",org.apache.commons.lang3.StringUtils,containsAny,"CharSequence,char[]",org/apache/commons/lang3/StringUtils.java,1047,ok,False,instr_not_full;branch_not_full,100.0% (17/17),79.5% (66/83),65.0% (13/20),0,0
lang3.20,public,10,False,"org.apache.commons.lang3.StringUtils.containsNone(CharSequence,char[])",org.apache.commons.lang3.StringUtils,containsNone,"CharSequence,char[]",org/apache/commons/lang3/StringUtils.java,1216,"coverage-error:unclosed token: line 1, column 57304",False,"status=coverage-error:unclosed token: line 1, column 57304",% (/),% (/),% (/),,
lang3.20,public,10,False,"org.apache.commons.lang3.StringUtils.getLevenshteinDistance(CharSequence,CharSequence)",org.apache.commons.lang3.StringUtils,getLevenshteinDistance,"CharSequence,CharSequence",org/apache/commons/lang3/StringUtils.java,2289,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,public,10,False,"org.apache.commons.lang3.StringUtils.indexOfAny(CharSequence,int,char[])",org.apache.commons.lang3.StringUtils,indexOfAny,"CharSequence,int,char[]",org/apache/commons/lang3/StringUtils.java,2786,ok,False,instr_not_full;branch_not_full,100.0% (29/29),91.9% (124/135),91.7% (33/36),0,0
lang3.20,private,10,False,"org.apache.commons.lang3.StringUtils.splitWorker(String,char,boolean)",org.apache.commons.lang3.StringUtils,splitWorker,"String,char,boolean",org/apache/commons/lang3/StringUtils.java,7562,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,private,10,False,"org.apache.commons.lang3.builder.EqualsBuilder.appendArray(Object,Object)",org.apache.commons.lang3.builder.EqualsBuilder,appendArray,"Object,Object",org/apache/commons/lang3/builder/EqualsBuilder.java,829,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
lang3.20,private,10,False,"org.apache.commons.lang3.builder.EqualsBuilder.reflectionAppend(Object,Object,Class<?>)",org.apache.commons.lang3.builder.EqualsBuilder,reflectionAppend,"Object,Object,Class<?>",org/apache/commons/lang3/builder/EqualsBuilder.java,993,ok,False,line_not_full;instr_not_full;branch_not_full,96.9% (31/32),94.6% (106/112),82.1% (23/28),0,0
lang3.20,private,10,False,"org.apache.commons.lang3.exception.ExceptionUtils.indexOf(Throwable,Class<?extends Throwable>,int,boolean)",org.apache.commons.lang3.exception.ExceptionUtils,indexOf,"Throwable,Class<?extends Throwable>,int,boolean",org/apache/commons/lang3/exception/ExceptionUtils.java,575,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
lang3.20,private,10,False,"org.apache.commons.lang3.exception.ExceptionUtils.throwableOf(Throwable,Class<T>,int,boolean)",org.apache.commons.lang3.exception.ExceptionUtils,throwableOf,"Throwable,Class<T>,int,boolean",org/apache/commons/lang3/exception/ExceptionUtils.java,911,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
lang3.20,public,10,False,org.apache.commons.lang3.math.Fraction.getFraction(double),org.apache.commons.lang3.math.Fraction,getFraction,double,org/apache/commons/lang3/math/Fraction.java,134,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,private,10,False,"org.apache.commons.lang3.reflect.MemberUtils.isMatchingExecutable(Executable,Class<?>[])",org.apache.commons.lang3.reflect.MemberUtils,isMatchingExecutable,"Executable,Class<?>[]",org/apache/commons/lang3/reflect/MemberUtils.java,250,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
lang3.20,private,10,False,"org.apache.commons.lang3.reflect.MethodUtils.toVarArgs(Object[],Class<?>[])",org.apache.commons.lang3.reflect.MethodUtils,toVarArgs,"Object[],Class<?>[]",org/apache/commons/lang3/reflect/MethodUtils.java,1036,"coverage-error:unclosed token: line 1, column 1114091",False,"status=coverage-error:unclosed token: line 1, column 1114091",% (/),% (/),% (/),,
